Avg. Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price
65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821
74533.16208,6.67935313,5.919230725,4,49481.56581,1520234.229
66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32
74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53
63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455
83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521
57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464
56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289
75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907
70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531
59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284
64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037
65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258
64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496
58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504
68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901
82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438
80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35
66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933
64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007
65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886
74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379
76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999
67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291
48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866
72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102
70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326
65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159
95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344
73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006
66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913
75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551
65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764
66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932
69284.25964,5.347447091,7.173425885,3.45,40282.72428,1169944.248
70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953
74218.48902,8.069721867,6.506374302,4.37,46770.66097,1783534.839
63441.71465,6.471673727,7.064811136,3.22,48061.75267,1302933.248
57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612
81543.77732,5.503923196,5.897052836,2.14,9816.300885,954114.544
78633.97376,5.465393231,7.531143012,3.24,43728.80349,1555320.5
52202.85372,4.869306181,4.414380866,2.23,42165.81246,404976.3659
67980.38878,5.562938814,6.159705222,2.44,25909.0792,1073183.76
78568.44916,5.47573732,6.291600796,2.29,41016.64709,1422195.879
55472.65483,4.822147136,5.855972309,3.2,15353.95643,340605.2113
67579.23479,5.973219004,7.754357545,6.32,21762.94969,1170959.526
61456.1507,6.882954326,6.417572622,4.19,30821.41209,942838.1647
60815.39039,7.17012853,7.984335122,4.11,31233.64935,1401613.92
51217.18116,5.384841407,8.776160034,3.41,47089.47508,1175504.486
63027.67471,4.855968121,5.580905937,2.3,35991.72064,608794.2467
62484.8553,6.496651466,7.322709774,5.13,26882.65179,946943.0362
73923.46627,7.005505785,7.135063347,6.04,58745.31203,1819900.637
79737.60976,7.315957927,6.611096005,2.17,28307.31433,1463130.273
63890.47157,4.972306568,7.916386397,5.49,43416.49782,1252391.18
67310.03695,7.193792989,7.760732555,5.28,43310.61243,1714445.175
73145.73022,4.096517243,7.254217433,3.18,49463.37888,1291759.393
86924.35877,6.832939699,7.738295553,6.32,28719.41089,1809154.289
74384.10563,7.411486571,5.164865476,2.3,17117.44367,1200539.361
67477.78818,6.623528293,7.91617166,5.1,29763.92535,1300265.21
71202.95692,4.318869133,6.634954066,4.37,34207.39721,997448.7281
85845.3178,6.743652961,9.468766369,3.46,46477.67868,2152959.409
72138.87048,7.163640935,8.485778263,5.45,35799.63827,1629983.847
44806.00516,4.494570528,4.725325117,3.1,57390.89007,497579.4466
67504.17846,5.329798509,5.894411949,4.36,37441.12054,890112.5493
74706.10053,5.003327764,5.661064127,2.05,39680.60932,1064685.699
68898.34591,6.787648529,7.871352644,6.39,39515.57156,1530124.016
58118.01816,8.137214471,5.650900286,4.36,35598.39044,1246246.828
77643.28309,6.070115922,5.381038359,4.45,35512.25505,1240754.932
67769.82559,8.074693668,6.761631408,4.22,33254.60341,1760734.69
74411.05989,5.534627544,7.210123361,6.44,43537.50295,1393746.76
73101.0788,4.104129923,8.920333221,4.35,29497.97129,1172385.898
58708.41716,5.083861036,6.262825884,4.07,15969.92604,483986.109
63876.05991,7.080219326,7.187432975,3.37,38052.87644,1388530.157
68343.15409,6.39244379,8.425112895,6.2,40653.87007,1721739.384
73064.97996,5.994062799,7.204368895,6.19,30699.33971,1276448.792
67367.26808,6.774710809,6.690894899,2.49,32547.27253,1161742.677
66547.18175,6.350672042,5.305000412,2.04,16741.96499,786407.9451
73313.54538,6.414723236,8.492901229,4.46,37808.99667,1604920.973
47681.36173,6.890508224,7.788267986,5.13,50908.97891,1230149.137
67910.94913,6.445851907,6.675937268,4.32,31379.78297,1051644.554
69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614
67946.71468,5.403175673,5.671136343,3.21,35197.94257,1043483.915
90975.11327,4.740683035,8.320351986,6.45,44426.21365,1544379.748
61885.54644,5.405265969,6.91419577,3.22,48726.9513,1352135.967
69401.84722,7.042354995,8.097044285,3.44,29293.07405,1505727.431
72969.12127,6.188575726,8.076943604,4.2,31755.72136,1416965.979
75582.45976,5.506473429,6.774986419,4.33,31946.30387,1046721.976
56241.22677,5.623087016,6.818670754,2.18,32745.36812,939040.0036
79412.83547,6.087360169,7.481321112,3.26,17568.73376,1383031.332
79618.23685,4.566166101,6.669888411,3.49,29636.50711,1072503.238
67019.07405,6.487943167,7.3313301,6.26,24997.10871,1134397.758
56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508
57077.5803,5.775467041,6.952026674,4.27,33393.9166,991892.3175
75954.81825,4.289916281,7.418750603,5.04,34467.7587,1057252.583
52575.81517,7.133719417,7.173698882,4.06,41828.57962,1237224.859
63312.80567,6.139115452,8.199615241,4.41,43230.35216,1442632.541
82526.9621,6.453073406,7.748248953,4.46,43947.68026,1877402.32
73204.94213,6.640915863,7.311912321,6.4,35090.50081,1394518.415
56357.19314,5.707903109,5.240300887,3.25,38061.9983,953939.3299
71316.62465,7.107767687,7.088992691,5.33,21651.69941,1219778.034
75046.8482,4.983084629,8.877240042,3,32468.03115,1287325.382
84474.16006,6.970854746,5.935909326,2.47,38677.81515,1739893.555
68162.68393,6.962206716,6.69735801,3.07,31843.87634,1213382.223
62784.33295,7.572350215,4.652717554,3.31,35122.38947,1007478.748
67009.81567,6.849769937,7.610720856,3.22,39737.12261,1528756.126
67437.25036,6.767363237,6.703917223,2.05,29356.22337,1182459.772
65967.76931,6.847724976,7.777279444,3.14,35799.96255,1474546.762
42816.30589,7.603999923,7.04524851,4.18,47457.66221,1078016.94
83347.6697,5.468158427,5.475252653,3.14,48226.71893,1453381.624
81699.88,5.47980183,6.476007341,4.41,39527.04856,1495012.965
56143.78866,4.580122446,6.668979774,4.04,45084.03666,714148.4148
59513.83492,4.885131771,5.57471435,3.18,44162.27921,894292.0474
78379.41224,5.985697151,5.681833507,3.2,31357.38821,1159841.831
70877.37574,6.766877154,7.213659075,5.07,36033.42685,1195986.299
61526.97445,6.593962539,9.180401429,6.11,27307.94803,1381430.63
65316.99602,7.414875231,6.733084867,2,55799.49748,1534889.853
76268.81833,6.942797867,6.147907596,3.17,38649.85239,1494125.33
48531.36423,6.863184039,8.517401059,5.3,39731.15056,1356146.261
82906.6548,5.901451656,5.767366136,4.26,38820.48194,1454943.074
63117.84405,4.940396705,5.636779395,2.31,43091.84514,774118.1878
75860.86115,3.69089057,4.788380207,3.48,41003.88008,889113.2389
68844.76425,4.860453,6.916808181,3.29,48392.49736,1211102.211
52446.26686,5.694610808,7.429639244,3.11,32934.5532,658646.1847
69342.70684,5.804686752,7.805903702,3.36,37082.37422,1400104.871
55932.05268,7.218309145,6.020201205,4,42488.31,1262017.792
53306.92214,4.632267718,6.194794325,2.15,39063.33871,553077.2126
56976.5464,6.061212241,7.259286709,3.08,46375.50249,1203247.89
51296.48863,6.155259764,7.831766476,6.18,32078.9068,1115323.015
63995.00489,7.59753322,7.090050637,5.25,24748.26827,1301881.417
71915.14669,6.279753854,5.521216371,4.47,27714.29366,1006687.387
62137.59721,5.440725043,7.235191288,5.21,19045.61951,749383.0726
78050.96983,5.234044768,6.290305888,4.15,27789.74852,1075596.587
67371.42086,5.333820712,6.624951289,4.37,24797.76476,739870.7936
59362.76638,7.482630242,8.003006746,3.49,44723.35373,1442945.145
57003.10964,7.01058346,6.356258719,3.14,29594.69337,828497.0671
68989.31221,6.075426018,7.879588245,6.37,32629.60383,1373290.861
70969.9021,4.901817799,6.396268006,3.18,24833.64615,925566.3313
82251.65301,7.741091334,7.636653827,6.49,18408.79864,1552536.764
71306.4573,5.773717163,6.68823017,2.04,43284.39716,1335904.501
70921.56857,5.665185385,6.375371505,3.28,29390.21727,960808.2911
70739.4601,6.710699576,7.166501646,6.28,35148.66775,1405933.019
58097.84182,6.386347996,6.144038119,3.04,19903.00008,619087.6936
51273.50885,7.032317226,6.888205629,2.09,53811.89491,1329273.228
76326.59232,5.02469487,4.936329009,3.44,42779.8313,1261843.844
63584.04588,5.832827571,6.029160867,4.29,46340.18858,1175781.418
86340.28729,4.930051,6.183440077,3.01,35630.56045,1437053.557
79471.23882,5.867269778,8.197289421,6.21,36616.16883,1594415.226
55879.50379,6.407946258,5.370386614,2.07,37360.06356,931357.9954
40503.54133,6.881778623,6.566175293,3.14,45979.47754,798639.6542
83394.40783,5.601486668,5.905024344,2.08,30487.52462,1451739.625
64501.22645,6.001641691,7.293476754,5.33,43869.30998,1278991.689
59569.53734,6.279536891,7.325379539,4.24,31294.65246,885920.5532
69280.31627,6.861548028,6.923618932,4.33,40290.91149,1425632.542
66342.48968,5.857266082,6.94910892,3.06,11792.81516,901881.7427
73367.04599,6.173290661,9.054709888,5.25,23684.78795,1521730.791
57122.22484,5.70765003,5.929733805,2.4,41972.77154,716771.0057
61978.84805,7.912276047,8.437966416,5.37,56957.18775,1696717.107
54299.96882,6.635899749,6.851535828,2.49,39512.66371,819598.0078
71424.40601,5.59893322,8.522538378,3.49,37242.56159,1584213.957
57353.15436,8.07544792,5.678555483,4.44,16906.42172,798892.515
44731.1098,4.188658329,8.942797164,5.12,39633.47304,601973.0017
76175.49393,4.524140652,9.524973612,4.28,30760.99496,1456486.293
66574.70999,5.550264729,6.844150153,2.17,69575.44946,1702406.039
91731.15438,5.184810712,7.94387972,6.3,33102.09542,1566471.008
75487.0326,6.453931678,7.737095684,4.02,41105.39063,1592210.176
58088.43813,6.017831001,5.790005274,4.21,51925.41161,937628.3467
76319.2186,6.873130198,6.294054951,3.45,48026.30837,1558547.578
60575.16244,5.907565592,6.964616002,2.29,32158.9679,1156329.274
69607.13367,7.077680826,7.833081192,3.35,34609.04022,1514349.692
67056.84048,5.222168522,7.163517523,5.25,25134.68148,1039107.326
60640.93188,5.165921529,5.355113624,2.32,43119.54066,809089.6719
69031.90888,5.779976246,5.501755138,3.23,15660.40301,675536.3915
80356.20939,4.660417824,9.710216896,5.02,16215.41728,1373589.804
60081.17662,6.768523696,8.204552838,4.3,60195.74627,1690091.019
61881.47931,6.519463053,7.114083652,5.38,35597.37289,1253370.149
59590.96529,6.891731041,5.736029404,2.03,24153.88252,774073.5619
89831.31929,5.20196372,7.719652764,6.37,45335.36028,1741959.834
72175.2835,7.421738946,6.828247305,2.09,50305.79541,1705762.788
67589.04884,6.21484263,6.060884656,2.34,33203.38392,1071109.917
77300.03144,5.260974726,6.936548024,4.49,29499.04095,1118047.991
65382.88832,5.39681918,7.648386114,6.08,41723.05474,1165253.033
71145.2127,6.152109975,6.765832563,2.31,35642.53034,1280910.19
61053.038,5.787890692,5.687062576,2.02,40675.77383,841122.8824
65125.94787,5.928483443,7.057757992,4.19,37642.78527,1228810.745
51949.2957,6.209803037,8.051118256,5.28,35336.06305,1086072.071
75897.98884,5.316933287,6.768229399,3.33,34162.67061,1204372.295
71468.3505,6.158043453,6.361238405,3.35,43269.03337,1345004.12
53287.99207,5.755609227,7.162322376,3.32,45152.01427,1116902.345
61503.0406,5.13081313,7.015317326,3.12,37650.86971,822431.7303
68896.04856,6.38632518,8.365074594,4.47,28394.60978,1360623.694
91159.41833,6.536045428,7.373850919,3.01,54861.0911,2298379.487
63375.34848,6.67234006,7.883780977,3.41,45633.19224,1400498.268
59695.57147,5.44538285,6.032795265,2.04,20702.80267,566848.7321
63183.88974,5.570561937,7.541807496,5.08,58691.20066,1367586.278
61177.80813,6.998928282,7.088385883,5.13,26396.29111,1113373.52
58642.31122,5.209923093,6.275371125,3.42,35131.57815,721974.5515
53112.27806,5.138651815,6.325363471,4.25,40367.38387,685503.9903
40366.61629,4.902939589,7.6171181,5.07,16349.36539,152071.8747
62207.47581,7.297532823,7.002864274,5.38,34317.53831,1280431.574
57477.95076,5.405444821,7.207172822,6.35,23649.96887,568703.1838
55630.48896,6.283122836,8.933119985,6,38943.09599,1200764.844
72399.30556,6.740676312,7.552269769,6.15,41662.00007,1607161.637
89868.89193,4.504274579,7.234479887,5.45,30101.72457,1421715.415
59801.49103,4.210462758,4.954387464,2.03,33534.9264,311111.2006
61957.1543,7.841080502,7.472966963,4.19,38448.49148,1338044.383
71123.43282,6.685810937,6.16923837,3.43,44020.1441,1417870.983
55202.70547,4.375933244,8.259044318,3.4,28424.95165,796389.438
79298.12201,7.188208135,5.336841156,3.44,15753.26664,1310207.133
65070.56701,7.143558507,5.579766055,4.3,24852.56515,994897.7278
68494.98255,7.230364893,7.265462684,5.46,13998.57121,1202987.829
55702.20538,5.551957132,5.648555397,3.08,40087.79561,768751.9005
57233.60849,7.893834161,6.036621215,2.27,37374.91924,1211655.305
85313.88545,6.033157792,6.633757595,4.21,23974.43557,1540418.222
60224.65171,4.675940133,5.428846667,3.23,42182.86211,712228.4243
73873.81919,6.789870886,6.630909086,3.17,33336.32735,1525533.407
63149.48523,7.156294433,5.518835024,2.04,37578.84687,1034218.402
58593.79404,4.662980906,6.333616932,2.04,39287.5279,874103.6606
73839.87242,6.446181952,8.274063584,4.19,47602.51021,1912825.285
75984.83111,6.725721311,7.887775836,4.31,42248.68586,1754770.59
82145.36942,6.54096795,6.876150329,4.23,25736.09605,1340066.913
69017.1828,5.777106148,5.783612779,3.11,55830.75284,1446756.863
75429.17898,6.818759161,7.570447111,5.48,36769.24968,1592768.242
69513.53892,4.122901533,7.641107312,6.08,14054.05343,660364.9813
57782.41708,5.159300978,6.332626733,2.46,33426.84938,861321.5807
74372.13845,6.56237959,8.184510518,6.35,34321.96015,1648246.774
63522.12193,5.538042849,6.952195766,2.04,31995.52529,977135.8857
61193.71483,7.647150882,9.086807717,3.21,33196.05984,1591934.19
60316.79073,4.308730208,5.564352875,4.12,33831.89363,695386.331
58469.9122,5.408899965,4.807387458,2.26,33547.98482,568977.0728
75179.90299,4.595920956,7.201635799,5.13,23978.0933,935590.8043
56186.96329,3.992027946,8.960742515,5.2,41855.65474,984311.7745
73225.0663,5.933498536,6.868603895,2.3,61830.53972,1796245.808
74338.92771,5.084714868,5.186852796,4.07,18057.17178,720080.2321
52188.11873,5.636892091,5.807401479,4.03,42495.75468,783808.4025
83311.10394,6.690551405,8.297556745,3.16,30386.36631,1598615.974
72288.6752,6.599434697,7.979877824,5.11,39146.9205,1564125.238
54866.21569,6.986763275,7.285434147,3.46,35192.84403,929480.6299
85759.65776,4.789357418,8.965705366,6.22,25897.75802,1414495.343
59453.34204,6.29111354,7.482571479,6.08,29697.64481,837668.1026
69878.7742,7.218330987,6.249192235,4.02,26814.17475,1197515.454
59243.29763,6.729520552,7.058764828,4.26,51405.35248,1232004.83
57853.3302,6.500094306,7.316551003,4.36,47688.2266,1285933.408
66643.31463,6.392834115,7.698007536,4.41,30971.15711,1361521.983
69248.29959,5.958735587,5.652694477,2.21,35990.10339,1090826.374
75129.72116,6.287836931,7.447318296,3.37,41620.2893,1475319.699
76209.99531,7.009045648,5.464338971,4.22,22721.6494,1066659.383
69342.37657,6.069486987,8.018121333,3.43,21641.97286,1117432.98
77630.95508,6.80962742,6.829667441,2.29,31739.88912,1420283.559
68929.15807,7.590878456,6.891969493,3.24,172.6106863,840272.8649
70990.80491,6.014814127,4.651974294,2.46,30904.25303,1024907.94
55860.68084,7.751794757,9.02450267,5.12,40335.22028,1494241.226
56380.9884,5.706260589,6.650904529,4.37,43994.24411,1125880.487
64306.33882,4.806617647,7.879677057,4.28,30762.36021,1082455.018
76547.9567,6.50322147,6.974804487,3.08,40564.64489,1554634.995
57101.71705,5.493161996,7.650205974,6.09,41104.46662,1011365.365
76192.65604,7.303749826,7.337589917,6.33,21245.84162,1432756.517
79585.55223,5.778524695,8.430787826,4.32,31773.3374,1612717.553
70759.8558,6.367973326,5.493294013,4.2,25981.831,973299.8618
76907.23816,5.205508259,6.462700239,4.21,21658.40932,679228.9927
64744.94244,5.900247576,8.467599729,6.03,28880.01759,1270999.939
51976.02393,5.354922556,7.375559651,4.42,36360.16875,910211.0189
61252.63767,5.189911336,7.191572627,4.43,40890.26603,1026271.796
58841.14292,7.754160967,6.916338174,4.05,39555.07059,1496729.536
79112.64141,6.357250993,7.8515296,5.27,33771.74049,1490539.058
76056.28911,6.480979871,8.245224408,5.4,28470.70147,1491838.494
52399.64822,6.804016971,8.971111959,3.11,18092.13036,996771.2482
77551.6278,5.535920946,4.679134254,2.03,35834.493,1064854.309
64160.81595,5.67760881,6.534959524,4.05,32339.00628,985749.7874
71167.03414,7.328943583,9.442325018,4.35,35174.87134,1952622.402
84963.66341,7.068466766,6.207145314,3.02,40447.01075,1754969.162
59712.82231,5.735499522,6.979752379,3.23,42601.84262,1122240.364
77733.73119,5.624500144,5.967832307,3.23,32074.57599,1236931.728
85707.07875,4.374148491,6.350156836,4.47,10424.41625,966084.4204
70280.36135,4.728804322,5.012885306,4.4,39662.74187,852268.6717
69330.74122,7.31890726,6.252757358,2,30097.83559,1280669.873
72988.70597,5.95937925,5.74843726,3.36,50566.6448,1190213.513
65697.82067,5.728201697,7.282106847,4.2,28742.12595,1123851.141
76245.21847,7.955766597,7.826124971,3.12,32016.23476,1689120.427
53546.87214,7.174569183,8.343557927,3.49,45504.20369,1573347.788
73643.0573,6.766853185,8.33708535,3.34,43152.13958,1696977.663
84774.45122,7.019666733,5.450658517,2.27,32383.55544,1414286.724
58140.94032,5.064855375,6.649447661,2.27,49337.53152,755292.1144
61881.16372,6.293585382,6.048295389,2.31,21397.4486,714706.4289
75312.25951,5.364982406,6.667365547,4.09,9487.921585,944001.5583
81328.8073,6.483153394,6.908829672,3.01,31231.5444,1523136.485
77931.47646,6.501686215,6.647662431,3.33,23182.60485,1422916.811
84602.59697,7.097245831,7.00842733,6.11,39683.438,1945618.658
72445.0333,5.488196879,6.509449186,2.48,69553.98833,1726719.067
57497.12815,6.674070665,7.524542188,5.17,43204.15762,1051123.833
87266.34023,8.248959366,7.234261404,5,45161.18768,2249122.541
62431.9381,6.798993828,8.599555446,4.48,44115.98342,1523915.145
72107.42807,4.54230638,6.981984299,3,29981.34654,1039517.534
55577.07175,6.533916122,7.162535697,3.47,19560.01241,818057.8953
62327.89441,5.233977928,7.285225482,4.43,43364.42819,1115466.585
73931.14266,5.662286845,6.9812466,2.46,29568.95886,1258178.804
63429.27469,6.362565275,8.441119043,3.31,37998.99693,1435423.708
73423.90295,5.975373486,5.810942512,3.49,34711.78242,1153470.44
75175.87311,8.561761657,5.197253905,2.07,22367.48207,1425603.495
56636.24613,6.257028601,7.863188943,4.5,28139.36846,1048350.692
67665.93963,6.467126893,6.333920562,3.41,24758.48906,1214482.379
65986.81794,4.531777656,6.860860394,2.15,24056.60447,821859.0657
54273.91488,5.550543628,6.798805806,4.44,24233.06146,753652.2718
75547.84162,3.992420475,7.332769653,6.12,40043.10216,1220001.334
70151.08661,6.724123387,7.706580735,5.41,15255.23776,1075675.108
74449.12174,6.223626136,7.392675062,3.1,24837.59073,1396082.352
66919.64032,7.826435952,7.320562834,6.03,18867.78162,1137801.933
68473.86312,5.74650959,6.232295865,2.19,43146.98202,1159953.593
76113.21733,6.377936931,7.736294493,5.07,26481.51177,1487849.876
61212.19548,6.408500651,5.538058083,3.5,32045.55987,1103072.439
59768.80592,5.805732788,7.425903425,3.48,26202.63146,897291.1153
78847.53637,5.573231808,7.027355369,3.26,20653.89831,1214320.574
75735.3429,5.761755985,8.065659921,5.28,37268.26997,1364363.375
77847.34897,5.23965341,7.282521302,3.21,30231.80829,1249092.928
56231.1618,5.459845342,5.014916517,2.47,52657.03375,946479.2349
89163.49859,4.692855436,6.010742815,2.27,44016.14744,1659805.184
62377.06447,6.289993194,7.21840033,4.46,39075.95638,1285399.565
68864.2823,6.00205394,4.9673884,4.17,29802.32138,898281.9025
82440.89576,6.291501388,7.037477117,5.04,27545.52954,1483848.169
60948.88088,7.161865646,6.22497133,2.36,39754.38814,1353488.416
69729.60586,6.168255827,7.24149204,5.11,31719.74264,1268703.811
75491.79999,6.299268667,7.33029276,6.14,26013.68048,1448573.845
80648.06571,6.35533372,5.881851885,3.49,35091.95553,1343605.8
84036.59865,7.73383489,5.740479724,4.21,32766.60197,1511537.745
76590.37671,5.940325276,7.691535725,3.31,40643.07833,1662038.759
63534.45596,6.46969413,8.017692368,3.23,38128.9837,1166673.195
67269.99554,6.325821835,7.472849853,6.39,41780.47369,1375633.373
50887.44007,4.458997393,7.063683439,4.16,47731.01076,839638.461
80597.1118,6.440796383,7.661280263,3.1,34487.57476,1638265.395
66041.12358,6.493916521,8.219394258,5.15,40163.97083,1385400.456
81316.38029,4.13269444,7.204458615,3.36,35589.59472,1153233.241
67877.02913,5.322287408,7.958894134,5.28,43300.95464,1370178.474
69306.95842,5.562622947,6.938908153,2.02,36851.38401,1181877.183
61200.72618,5.299694,6.23461464,4.23,42789.69222,894251.0686
70619.16697,5.890269353,7.935510756,5.15,37865.64855,1421135.815
69910.85188,5.899946659,5.630525332,4.04,38440.73729,1028964.474
64889.21934,3.727083933,7.655452911,3.2,25904.97991,923508.1257
69900.13396,6.327089456,8.366505984,6.34,32679.18766,1599634.465
79045.0398,5.53968589,8.20329527,5.26,24721.95904,1369186.07
76460.22067,7.030844864,6.629940742,4.16,46851.04219,1748782.809
58307.72788,6.381029538,8.308603108,4.07,25509.06978,1150877.735
56679.01602,5.096643486,8.971411852,5.49,40785.0273,1110598.755
58823.05019,5.711384515,7.168189941,4.21,38682.56933,1159207.085
80836.34486,5.7673672,7.421920927,3.02,49864.46977,1811377.221
67710.11298,5.854378134,8.48252252,4.18,25222.46242,1267443.398
